编号,空间,品类,推荐品牌/系列方向,规格尺寸mm,材质/颜色(挂锚色),数量,单价区间元,小计区间元,落地位置/备注
L01,客厅,L型主沙发,Camerich/挪亚家/左右高线(或Natuzzi入门),3400x1700,半哑光真皮·焦糖驼#b07a4e,1,28000-45000,28000-45000,贵妃位朝南阳台;羽绒+高回弹
L02,客厅,设计师休闲单椅,吱音/失物招领/B&B平替,750x800,丝绒·墨绿#3d5440+香槟金脚,1,4500-9000,4500-9000,沙发左前侧
L03,客厅,双茶几组合,梵几/吱音,大1200x700+小Ø500,岩板/大理石+古铜框,1套,6000-12000,6000-12000,沙发与电视墙间
L04,客厅,电视地柜,挪亚家/梵几,2400x400x450,胡桃木+皮革拼#5a4332,1,7000-13000,7000-13000,靠胡桃木电视墙
L05,客厅,羊毛手工地毯,菲拉格/Tisca方向,3000x2400,羊毛短绒·暖灰咖#b8ad9a,1,8000-18000,8000-18000,压沙发区
L06,客厅,阅读落地灯,新中式/北欧设计款,H1500,古铜+大理石底#8a6a3a,1,2500-5000,2500-5000,沙发侧
L07,客厅,抱枕+针织盖毯,布艺定制,—,丝绒/棉麻/驼色针织,1套,1500-3000,1500-3000,5-6抱枕+1盖毯
L08,客厅,装饰挂画/壁饰,画廊轻奢版画,—,抽象暖调,1组,3000-8000,3000-8000,沙发背景墙
D01,餐厅,长餐桌(8人),梵几/挪亚家,3000x1100,岩板/胡桃木实木,1,12000-22000,12000-22000,长边E-W;距厨房墙≥1.1m
D02,餐厅,餐椅,6+2主人椅混搭,450x500,焦糖皮/米绒+木脚,8,1200-2800,9600-22400,每长边4椅
D03,餐厅,餐边柜,挪亚家/梵几,1800x450x850,胡桃木+岩板+香槟金,1,6000-12000,6000-12000,靠墙
D04,餐厅,艺术餐吊灯,独立设计款,长800-1000,艺术玻璃/古铜,1,3500-8000,3500-8000,距桌面700-750
M01,主卧,真皮软包大床,慕思/Camerich(或进口升级),1800x2000,真皮·焦糖#b07a4e宽矮床头板,1,12000-28000,12000-28000,核心件可进口
M02,主卧,进口床垫,金可儿/丝涟/Stressless,1800x2000,独立袋装弹簧+乳胶,1,10000-25000,10000-25000,核心件
M03,主卧,床头柜,配套,550x450,胡桃木+香槟金圆角,2,1800-3500,3600-7000,—
M04,主卧,床头壁灯,设计款,—,古铜暖光可调,2,800-1800,1600-3600,省台面
M05,主卧,床尾凳,配套,1200x450,焦糖皮/绒,1,2500-5000,2500-5000,—
M06,主卧,角落休闲椅+小几+落地灯,—,—,奶咖绒+古铜,1组,4000-8000,4000-8000,落地窗角
M07,主卧,羊毛地毯,—,2400x2000,羊毛·奶咖,1,5000-10000,5000-10000,—
M08,主卧,床品4件套+盖毯+枕,60支长绒棉,—,燕麦/奶咖#d8c9ad,1套,2500-5000,2500-5000,5枕叠搭
M09,主卧+衣帽间+主卫,软装点缀,—,—,香薰/托盘/绿植/穿衣镜/坐凳,1批,3000-6000,3000-6000,沿用硬装
G01,客房①书房,整墙书柜,定制,2400-2700x350,胡桃木开放+封闭,1,8000-18000,8000-18000,—
G02,客房①书房,双人书桌,定制/成品,1800x1000,胡桃木+皮面,1,4000-9000,4000-9000,靠窗
G03,客房①书房,工学/真皮座椅,Herman Miller平替,—,藏木色真皮,2,2000-5000,4000-10000,—
G04,客房①书房,茶席+坐墩+灯具地毯,—,—,新中式,1组,4000-8000,4000-8000,景观位
H01,客房②次卧,双人床+床垫,慕思/Camerich平替,1500-1800x2000,布艺/皮·燕麦米,1,7000-15000,7000-15000,床头靠东墙
H02,客房②次卧,床头柜+床头灯,配套,450x400,胡桃木+香槟金,1组,2000-4000,2000-4000,成对
H03,客房②次卧,衣柜(南墙)+化妆角,定制,2000x400,胡桃木/香槟金细框,1组,4000-9000,4000-9000,衣柜+可选梳妆
H04,客房②次卧,床品+穿衣镜+软装,—,—,燕麦/奶咖,1组,2500-5000,2500-5000,—
F01,多功能房,1.8床或高级沙发床,—,1800x2000,真皮/布艺,1,8000-18000,8000-18000,影音+客卧两用
F02,多功能房,影音柜/矮书架,定制,2000x350,胡桃木,1,4000-8000,4000-8000,对墙壁挂/投影
F03,多功能房,懒人躺椅+落地灯+地毯,—,—,雾霾灰蓝#8a98a0,1组,4000-9000,4000-9000,—
P01,玄关,换鞋凳+穿衣镜+端景陈设,—,600x400,皮+陶艺花艺,1组,2500-5000,2500-5000,—
P02,走廊,成组挂画+壁灯+端景花几,—,—,—,1组,3000-6000,3000-6000,—
P03,南阳台,户外休闲椅+小茶几,户外家具,—,耐候藤/铝,1套,4000-9000,4000-9000,晨咖赏景
P04,北阳台,嵌入洗烘塔收纳,海尔/西门子,—,—,1套,(硬装/家电另计),0,生活阳台
P05,庭院,景观绿植+地灯组合,—,—,—,1组,3000-6000,3000-6000,借景
C01,全屋,窗帘(纱+遮光)+电动轨道,定制,通顶,亚麻纱+燕麦遮光,1批,30000-45000,30000-45000,落地窗位电动
C02,全屋,移动灯具+智能场景,米家/Aqara/控客,—,2700-3000K可调光,1批,15000-25000,15000-25000,四场景
C03,全屋,艺术品/雕塑/花器/真植,画廊+花艺,—,—,1批,25000-40000,25000-40000,最后软陈设
